Key,ShortName
2-W|1-10,Write/Revise Brief Texts
2-W|1-11,Write/Revise Brief Texts
2-W|1-12,Write/Revise Brief Texts
2-W|1-2,Write/Revise Brief Texts
2-W|1-3,Write/Revise Brief Texts
2-W|1-4,Write/Revise Brief Texts
2-W|1-5,Write/Revise Brief Texts
2-W|1-6,Write/Revise Brief Texts
2-W|1-7,Write/Revise Brief Texts
2-W|1-8,Write/Revise Brief Texts
2-W|1-9,Write/Revise Brief Texts
2-W|1-KG,Write/Revise Brief Texts
2-W|10-1,Technology
2-W|10-10,Technology
2-W|10-11,Technology
2-W|10-12,Technology
2-W|10-2,Technology
2-W|10-3,Technology
2-W|10-4,Technology
2-W|10-5,Technology
2-W|10-6,Technology
2-W|10-7,Technology
2-W|10-8,Technology
2-W|10-9,Technology
2-W|10-KG,Technology
2-W|2-1,Compose Full Texts
2-W|2-10,Compose Full Texts
2-W|2-11,Compose Full Texts
2-W|2-12,Compose Full Texts
2-W|2-2,Compose Full Texts
2-W|2-3,Compose Full Texts
2-W|2-4,Compose Full Texts
2-W|2-5,Compose Full Texts
2-W|2-6,Compose Full Texts
2-W|2-7,Compose Full Texts
2-W|2-8,Compose Full Texts
2-W|2-9,Compose Full Texts
2-W|2-KG,Compose Full Texts
2-W|3-1,Write/Revise Brief Texts
2-W|3-10,Write/Revise Brief Texts
2-W|3-11,Write/Revise Brief Texts
2-W|3-12,Write/Revise Brief Texts
2-W|3-2,Write/Revise Brief Texts
2-W|3-3,Write/Revise Brief Texts
2-W|3-4,Write/Revise Brief Texts
2-W|3-5,Write/Revise Brief Texts
2-W|3-6,Write/Revise Brief Texts
2-W|3-7,Write/Revise Brief Texts
2-W|3-8,Write/Revise Brief Texts
2-W|3-9,Write/Revise Brief Texts
2-W|3-KG,Write/Revise Brief Texts
2-W|4-1,Compose Full Texts
2-W|4-10,Compose Full Texts
2-W|4-11,Compose Full Texts
2-W|4-12,Compose Full Texts
2-W|4-2,Compose Full Texts
2-W|4-3,Compose Full Texts
2-W|4-4,Compose Full Texts
2-W|4-5,Compose Full Texts
2-W|4-6,Compose Full Texts
2-W|4-7,Compose Full Texts
2-W|4-8,Compose Full Texts
2-W|4-9,Compose Full Texts
2-W|4-KG,Compose Full Texts
2-W|5-1,Use Text Features
2-W|5-10,Use Text Features
2-W|5-11,Use Text Features
2-W|5-12,Use Text Features
2-W|5-2,Use Text Features
2-W|5-3,Use Text Features
2-W|5-4,Use Text Features
2-W|5-5,Use Text Features
2-W|5-6,Use Text Features
2-W|5-7,Use Text Features
2-W|5-8,Use Text Features
2-W|5-9,Use Text Features
2-W|5-KG,Use Text Features
2-W|6-1,Write/Revise Brief Texts
2-W|6-10,Write/Revise Brief Texts
2-W|6-11,Write/Revise Brief Texts
2-W|6-12,Write/Revise Brief Texts
2-W|6-2,Write/Revise Brief Texts
2-W|6-3,Write/Revise Brief Texts
2-W|6-4,Write/Revise Brief Texts
2-W|6-5,Write/Revise Brief Texts
2-W|6-6,Write/Revise Brief Texts
2-W|6-7,Write/Revise Brief Texts
2-W|6-8,Write/Revise Brief Texts
2-W|6-9,Write/Revise Brief Texts
2-W|6-KG,Write/Revise Brief Texts
2-W|7-1,Compose Full Texts
2-W|7-10,Compose Full Texts
2-W|7-11,Compose Full Texts
2-W|7-12,Compose Full Texts
2-W|7-2,Compose Full Texts
2-W|7-3,Compose Full Texts
2-W|7-4,Compose Full Texts
2-W|7-5,Compose Full Texts
2-W|7-6,Compose Full Texts
2-W|7-7,Compose Full Texts
2-W|7-8,Compose Full Texts
2-W|7-9,Compose Full Texts
2-W|7-KG,Compose Full Texts
2-W|8-1,Language & Vocabulary Use
2-W|8-10,Language & Vocabulary Use
2-W|8-11,Language & Vocabulary Use
2-W|8-12,Language & Vocabulary Use
2-W|8-2,Language & Vocabulary Use
2-W|8-3,Language & Vocabulary Use
2-W|8-4,Language & Vocabulary Use
2-W|8-5,Language & Vocabulary Use
2-W|8-6,Language & Vocabulary Use
2-W|8-7,Language & Vocabulary Use
2-W|8-8,Language & Vocabulary Use
2-W|8-9,Language & Vocabulary Use
2-W|8-KG,Language & Vocabulary Use
2-W|9-1,Edit/Clarify
2-W|9-10,Edit/Clarify
2-W|9-11,Edit/Clarify
2-W|9-12,Edit/Clarify
2-W|9-2,Edit/Clarify
2-W|9-3,Edit/Clarify
2-W|9-4,Edit/Clarify
2-W|9-5,Edit/Clarify
2-W|9-6,Edit/Clarify
2-W|9-7,Edit/Clarify
2-W|9-8,Edit/Clarify
2-W|9-9,Edit/Clarify
2-W|9-KG,Edit/Clarify
3-L|4-1,Listen/Interpret
